date,new york,edmonton,delhi,london,washington
gardenhose.2012-11-06.gz,217693,7922,9095,284969,72066
gardenhose.2012-11-01.gz,157499,6646,8649,273694,43769
gardenhose.2012-11-02.gz,164759,6222,9026,276808,43947
gardenhose.2012-11-15.gz,133094,5072,7224,214541,37762
gardenhose.2012-11-09.gz,139707,6187,9019,247792,40620
gardenhose.2012-11-04.gz,172534,6615,8659,291822,44540
gardenhose.2012-11-05.gz,166748,6280,8702,267256,47721
gardenhose.2012-11-03.gz,149149,6013,8305,280839,37602
gardenhose.2012-11-13.gz,137702,5176,6472,216295,38943
gardenhose.2012-11-12.gz,166709,5376,8245,265646,43869
gardenhose.2012-11-10.gz,129444,5227,7659,257723,33686
gardenhose.2012-11-07.gz,188911,8934,9441,271507,55364
gardenhose.2012-11-08.gz,155610,6413,8519,257922,43927
gardenhose.2012-11-14.gz,131446,5164,7342,217433,38420
gardenhose.2012-11-11.gz,154333,5813,7490,296828,38559
